0,1,2,3,4,class
-80,-85,-79,-84,-87,13
-79,-86,-81,-85,-87,13
-80,-86,-83,-86,-85,13
-79,-84,-83,-91,-86,13
-80,-84,-78,-83,-85,13
-82,-86,-79,-83,-87,13
-82,-84,-81,-84,-87,13
-82,-85,-88,-83,-86,13
-80,-86,-78,-83,-87,13
-81,-86,-83,-83,-86,13
-80,-87,-79,-84,-87,13
-79,-86,-84,-84,-86,13
-83,-83,-81,-83,-86,13
-78,-87,-85,-83,-85,13
-79,-84,-77,-83,-87,13
-81,-87,-81,-83,-88,13
-79,-87,-78,-84,-87,13
-81,-87,-76,-84,-85,13
-79,-86,-79,-90,-87,13
-79,-86,-81,-83,-85,13
-78,-84,-78,-84,-85,13
-79,-86,-84,-83,-88,13
-79,-88,-80,-83,-86,13
-79,-90,-85,-84,-85,13
-80,-85,-82,-91,-87,13
-81,-84,-80,-85,-86,13
-79,-83,-80,-83,-86,13
-80,-89,-80,-82,-86,13
-83,-85,-77,-88,-84,13
-79,-89,-81,-86,-87,13
-77,-87,-79,-83,-86,13
-80,-86,-81,-85,-85,13
-80,-87,-79,-81,-84,13
-78,-84,-80,-83,-87,13
-78,-87,-79,-90,-85,13
-79,-85,-79,-83,-86,13
-80,-85,-79,-84,-85,13
-80,-84,-78,-91,-87,13
-81,-84,-79,-81,-88,13
-77,-87,-77,-82,-85,13
-82,-85,-77,-83,-83,13
-78,-85,-76,-83,-88,13
-78,-84,-80,-83,-88,13
-78,-85,-80,-84,-86,13
-78,-83,-79,-83,-84,13
-82,-89,-85,-83,-89,13
-80,-82,-81,-86,-85,13
-80,-84,-80,-84,-91,13
-79,-85,-79,-84,-87,13
-80,-88,-79,-85,-85,13
-78,-88,-81,-83,-81,13
-78,-83,-80,-88,-84,13
-84,-88,-80,-84,-81,13
-86,-83,-76,-87,-84,13
-82,-85,-78,-85,-85,13
-80,-86,-80,-90,-84,13
-77,-84,-80,-81,-85,13
-78,-85,-81,-81,-86,13
-77,-86,-78,-86,-85,13
-77,-85,-82,-84,-85,13
-80,-85,-82,-82,-85,13
-81,-83,-83,-85,-86,13
-77,-86,-78,-83,-84,13
-78,-84,-81,-83,-84,13
-77,-89,-77,-83,-83,13
-80,-87,-77,-83,-84,13
-82,-85,-75,-82,-85,13
-80,-85,-78,-89,-84,13
-83,-83,-75,-83,-86,13
-80,-86,-78,-90,-83,13
-80,-85,-77,-83,-84,13
-80,-88,-78,-84,-82,13
-83,-88,-79,-83,-88,13
-81,-84,-75,-83,-86,13
-83,-88,-81,-83,-82,13
-82,-86,-81,-87,-84,13
-81,-87,-78,-83,-88,13
-79,-86,-78,-83,-90,13
-77,-87,-77,-83,-84,13
-77,-85,-77,-83,-85,13
-82,-89,-81,-90,-87,13
-76,-84,-80,-87,-86,13
-76,-87,-81,-90,-82,13
-80,-87,-77,-82,-81,13
-78,-85,-77,-83,-82,13
-79,-84,-77,-83,-82,13
-76,-86,-77,-83,-85,13
-76,-88,-78,-83,-83,13
-76,-85,-77,-83,-87,13
-75,-86,-80,-83,-82,13
-76,-86,-78,-91,-84,13
-79,-86,-79,-83,-84,13
-79,-84,-81,-81,-80,13
-80,-86,-79,-83,-85,13
-76,-86,-81,-80,-87,13
-80,-87,-77,-83,-85,13
-78,-85,-79,-83,-84,13
-75,-85,-80,-82,-85,13
-78,-85,-78,-83,-85,13
-79,-87,-78,-83,-85,13
-76,-85,-81,-82,-85,13
-82,-87,-77,-81,-83,13
-84,-84,-78,-83,-88,13
-79,-84,-77,-83,-83,13
-79,-87,-79,-80,-83,13
-78,-88,-80,-83,-83,13
-77,-88,-78,-83,-85,13
-79,-86,-78,-84,-84,13
-79,-85,-82,-86,-87,13
-76,-86,-82,-82,-85,13
-78,-86,-89,-84,-88,13
-76,-86,-82,-85,-86,13
-76,-87,-78,-84,-91,13
-76,-85,-81,-84,-89,13
-76,-85,-77,-85,-87,13
-76,-84,-77,-85,-85,13
-77,-84,-78,-83,-86,13
-76,-83,-82,-86,-88,13
-75,-87,-87,-86,-81,14
-78,-85,-84,-84,-84,14
-73,-88,-83,-86,-81,14
-75,-85,-84,-86,-84,14
-75,-86,-83,-86,-83,14
-75,-87,-85,-86,-83,14
-75,-87,-85,-86,-82,14
-77,-86,-85,-86,-83,14
-74,-86,-86,-86,-81,14
-78,-86,-85,-86,-83,14
-74,-85,-86,-85,-83,14
-76,-85,-84,-85,-83,14
-76,-86,-84,-85,-82,14
-76,-86,-84,-85,-84,14
-75,-87,-84,-85,-84,14
-75,-85,-85,-91,-84,14
-76,-87,-86,-86,-86,14
-75,-87,-85,-86,-84,14
-77,-87,-83,-85,-85,14
-79,-87,-84,-87,-84,14
-75,-89,-82,-87,-83,14
-77,-87,-83,-87,-86,14
-77,-87,-87,-87,-83,14
-77,-87,-84,-87,-86,14
-75,-87,-83,-86,-83,14
-76,-86,-88,-85,-84,14
-78,-87,-87,-86,-84,14
-76,-86,-85,-85,-83,14
-77,-86,-88,-86,-86,14
-76,-86,-86,-85,-82,14
-77,-86,-87,-85,-83,14
-78,-86,-89,-86,-84,14
-75,-87,-86,-89,-81,14
-74,-86,-84,-87,-82,14
-74,-89,-85,-87,-82,14
-78,-86,-85,-87,-85,14
-78,-86,-86,-86,-84,14
-75,-87,-86,-87,-85,14
-72,-86,-81,-86,-84,14
-75,-85,-82,-88,-85,14
-76,-86,-83,-88,-86,14
-75,-86,-85,-87,-84,14
-77,-91,-82,-87,-85,14
-76,-86,-85,-86,-84,14
-75,-86,-87,-87,-83,14
-77,-88,-88,-86,-86,14
-75,-87,-86,-86,-86,14
-77,-85,-85,-89,-83,14
-78,-84,-83,-88,-82,14
-80,-84,-81,-88,-83,14
-79,-83,-82,-88,-83,14
-76,-84,-83,-89,-85,14
-78,-84,-86,-91,-82,14
-75,-86,-85,-88,-83,14
-77,-87,-91,-87,-82,14
-76,-86,-87,-88,-80,14
-78,-85,-85,-86,-80,14
-82,-86,-86,-90,-82,14
-78,-89,-85,-90,-77,15
-78,-88,-85,-89,-78,15
-82,-87,-85,-91,-79,15
-82,-86,-90,-89,-80,15
-84,-88,-87,-91,-76,15
-82,-87,-84,-89,-78,15
-80,-88,-85,-90,-79,15
-80,-89,-85,-95,-78,15
-81,-91,-85,-92,-78,15
-80,-88,-85,-91,-78,15
-86,-83,-76,-83,-85,1
-87,-84,-77,-84,-84,1
-87,-83,-77,-84,-84,1
-88,-84,-76,-84,-84,1
-85,-82,-76,-83,-84,1
-88,-84,-77,-83,-83,1
-87,-80,-76,-84,-84,1
-84,-82,-79,-84,-84,1
-87,-79,-76,-84,-84,1
-88,-78,-77,-83,-84,1
-88,-78,-76,-83,-84,1
-84,-80,-77,-83,-84,1
-85,-81,-76,-83,-84,1
-88,-78,-76,-84,-83,1
-88,-81,-86,-83,-84,1
-88,-81,-76,-83,-86,1
-86,-80,-76,-83,-85,1
-85,-82,-76,-83,-83,1
-86,-83,-76,-82,-84,1
-86,-83,-76,-83,-84,1
-89,-80,-77,-83,-86,1
-85,-77,-76,-83,-84,1
-87,-81,-77,-83,-85,1
-85,-80,-77,-82,-84,1
-88,-79,-76,-83,-84,1
-89,-83,-76,-82,-83,1
-89,-83,-77,-84,-86,1
-88,-77,-87,-84,-86,1
-88,-78,-77,-83,-84,1
-84,-83,-76,-84,-86,1
-88,-78,-76,-83,-85,1
-86,-81,-77,-83,-84,1
-88,-78,-81,-84,-84,1
-88,-78,-77,-83,-86,1
-86,-82,-77,-83,-85,1
-86,-80,-77,-84,-83,1
-87,-80,-81,-83,-86,1
-85,-83,-77,-84,-85,1
-87,-78,-77,-83,-84,1
