aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-71,-70,-46,-52,-46,9
-73,-74,-54,-48,-49,9
-72,-76,-51,-50,-50,9
-72,-71,-54,-43,-37,9
-77,-74,-55,-46,-37,9
-71,-72,-54,-45,-34,9
-73,-69,-52,-48,-36,9
-82,-71,-49,-46,-34,9
-74,-70,-48,-52,-38,9
-71,-70,-49,-46,-37,9
-72,-67,-48,-51,-34,9
-75,-69,-58,-52,-35,9
-75,-76,-50,-49,-47,9
-76,-75,-56,-46,-42,9
-71,-71,-49,-42,-35,9
-72,-72,-49,-52,-37,9
-74,-68,-46,-42,-37,9
-72,-73,-49,-50,-33,9
-68,-71,-48,-55,-33,9
-77,-72,-49,-51,-33,9
-73,-69,-43,-41,-44,10
-68,-68,-48,-43,-54,10
-67,-69,-46,-42,-55,10
-67,-71,-39,-36,-56,10
-67,-64,-39,-43,-48,10
-68,-64,-40,-42,-49,10
-79,-71,-45,-42,-44,10
-76,-79,-41,-43,-44,10
-72,-73,-49,-42,-46,10
-73,-74,-53,-44,-48,10
-73,-75,-57,-54,-51,10
-81,-76,-49,-50,-42,10
-77,-76,-53,-45,-50,10
-75,-69,-44,-43,-47,10
-72,-69,-40,-38,-48,10
-68,-68,-40,-36,-47,10
-68,-65,-42,-40,-52,10
-67,-68,-41,-43,-55,10
-64,-67,-43,-46,-47,10
-71,-70,-45,-38,-49,10
-70,-69,-46,-39,-48,10
-70,-74,-39,-36,-53,10
-66,-66,-37,-39,-46,10
-61,-61,-35,-39,-40,10
-61,-63,-36,-35,-40,10
-63,-65,-37,-41,-51,10
-64,-65,-38,-38,-43,10
-64,-63,-39,-34,-48,10
-67,-65,-41,-36,-53,10
-75,-67,-52,-54,-51,11
-73,-69,-53,-51,-55,11
-70,-68,-48,-45,-54,11
-67,-64,-52,-43,-49,11
-73,-67,-46,-43,-51,11
-71,-68,-49,-41,-55,11
-69,-67,-48,-41,-47,11
-74,-76,-55,-57,-45,11
-78,-74,-54,-52,-46,11
-74,-72,-52,-46,-45,11
-77,-72,-54,-49,-45,11
-71,-70,-49,-40,-44,11
-71,-69,-48,-46,-46,11
-68,-72,-50,-42,-45,11
-80,-71,-58,-44,-46,11
-74,-69,-48,-47,-61,11
-68,-65,-45,-44,-53,11
-75,-67,-49,-43,-49,11
-70,-67,-46,-43,-52,11
-76,-68,-45,-44,-49,11
-75,-66,-45,-43,-50,11
-69,-68,-44,-41,-51,11
-74,-69,-50,-44,-56,11
-77,-69,-52,-44,-49,11
-66,-67,-47,-38,-57,11
-66,-66,-41,-39,-51,11
-72,-67,-50,-43,-52,11
-68,-67,-47,-41,-57,11
-71,-71,-45,-41,-57,11
-70,-69,-42,-43,-55,11
-71,-66,-51,-44,-52,12
-75,-64,-46,-43,-53,12
-75,-70,-45,-51,-47,12
-73,-73,-45,-41,-48,12
-74,-70,-53,-42,-47,12
-69,-78,-49,-45,-45,12
-70,-74,-55,-42,-49,12
-70,-75,-52,-40,-46,12
-70,-68,-56,-47,-63,12
-70,-73,-53,-50,-53,12
-73,-71,-58,-45,-53,12
-77,-74,-51,-45,-46,12
-80,-69,-45,-44,-49,12
-78,-72,-53,-48,-50,12
-69,-65,-43,-44,-51,12
-70,-64,-49,-45,-50,12
-71,-71,-54,-52,-58,12
-70,-69,-50,-47,-49,12
-66,-67,-50,-44,-44,12
-72,-69,-45,-51,-47,12
-73,-75,-47,-41,-46,12
-77,-71,-46,-46,-47,12
-74,-66,-44,-47,-53,12
-71,-70,-46,-46,-52,12
-69,-67,-48,-44,-46,12
-68,-71,-44,-46,-52,12
-73,-72,-45,-40,-48,12
-69,-68,-47,-40,-52,12
-70,-68,-45,-43,-44,12
-80,-73,-49,-42,-44,12
-80,-72,-44,-42,-48,12
-73,-72,-38,-39,-43,13
-70,-74,-49,-42,-50,13
-72,-68,-45,-38,-41,13
-69,-71,-56,-36,-48,13
-74,-65,-38,-45,-54,13
-72,-70,-46,-44,-43,13
-73,-71,-40,-43,-43,13
-76,-67,-43,-44,-44,13
-72,-64,-34,-38,-56,13
-67,-63,-33,-41,-52,13
-71,-63,-34,-45,-45,13
-77,-67,-42,-38,-49,13
-66,-66,-40,-41,-49,13
-70,-72,-41,-40,-49,13
-69,-68,-45,-41,-52,13
-64,-66,-42,-35,-54,13
-77,-63,-35,-37,-50,13
-67,-62,-44,-40,-47,13
-64,-63,-35,-33,-52,13
-68,-58,-43,-39,-46,13
-70,-70,-42,-40,-44,13
-74,-64,-42,-36,-47,13
-63,-61,-38,-43,-44,13
-71,-63,-39,-35,-47,13
-68,-76,-46,-33,-51,13
-73,-69,-43,-37,-49,13
-74,-61,-38,-39,-43,13
-72,-68,-38,-43,-51,13
-67,-64,-42,-37,-49,13
-71,-61,-31,-34,-45,13
-67,-59,-36,-36,-45,13
-66,-58,-35,-44,-52,13
-75,-69,-41,-55,-48,13
-67,-71,-39,-35,-48,13
-74,-67,-40,-44,-48,13
-69,-72,-41,-37,-51,13
-69,-70,-50,-37,-45,13
-71,-68,-50,-41,-49,13
-69,-68,-51,-35,-54,13
-75,-67,-43,-39,-47,13
-75,-65,-45,-45,-48,13
-68,-67,-39,-37,-47,13
-69,-63,-36,-37,-45,13
-72,-65,-34,-35,-48,13
-73,-63,-32,-40,-50,13
-74,-71,-47,-52,-63,14
-69,-69,-47,-45,-53,14
-68,-66,-52,-42,-58,14
-80,-67,-47,-42,-56,14
-69,-66,-46,-43,-57,14
-71,-80,-50,-52,-47,14
-81,-71,-51,-49,-53,14
-74,-71,-53,-41,-53,14
-75,-78,-50,-45,-49,14
-73,-70,-46,-48,-47,14
-71,-71,-49,-41,-45,14
-71,-71,-53,-53,-50,14
-72,-72,-50,-47,-55,14
-71,-68,-46,-48,-57,14
-69,-65,-46,-45,-61,14
-71,-73,-48,-49,-62,14
-75,-68,-48,-39,-53,14
-75,-69,-48,-41,-53,14
-71,-68,-47,-46,-55,14
-68,-67,-55,-46,-56,14
-68,-68,-51,-52,-58,14
-72,-66,-49,-40,-55,14
-71,-68,-47,-41,-47,14
-65,-62,-49,-45,-50,14
-75,-67,-48,-40,-50,14
-73,-75,-51,-48,-51,14
-72,-76,-47,-47,-53,14
-64,-58,-37,-62,-64,15
-64,-53,-38,-55,-65,15
-64,-58,-43,-54,-68,15
-65,-63,-37,-54,-64,15
-70,-60,-37,-52,-63,15
-68,-63,-39,-53,-61,15
-68,-66,-38,-52,-65,15
-67,-61,-42,-50,-66,15
-67,-59,-48,-59,-62,15
-61,-75,-52,-63,-62,15
-64,-58,-51,-56,-60,15
-72,-64,-49,-50,-55,15
-70,-65,-45,-57,-60,15
-66,-59,-46,-53,-60,15
-66,-60,-36,-59,-68,15
-67,-54,-46,-53,-71,15
-70,-61,-39,-51,-64,15
-62,-55,-37,-52,-60,15
-64,-69,-42,-52,-59,15
-71,-60,-42,-51,-56,15
-70,-66,-41,-51,-64,15
-61,-53,-36,-54,-67,15
-64,-55,-39,-56,-66,15
-62,-53,-43,-54,-66,15
-55,-55,-38,-56,-62,15
-57,-59,-35,-50,-58,15
-68,-61,-36,-49,-52,15
-61,-56,-34,-45,-64,15
-67,-57,-35,-43,-60,15
-57,-54,-39,-49,-57,16
-55,-55,-41,-53,-56,16
-70,-54,-36,-55,-58,16
-59,-56,-33,-53,-61,16
-65,-56,-36,-54,-66,16
-64,-57,-37,-53,-64,16
-68,-66,-45,-57,-63,16
-72,-56,-47,-57,-62,16
-61,-53,-48,-59,-63,16
-66,-49,-49,-57,-70,16
-58,-49,-39,-57,-70,16
-62,-53,-39,-57,-66,16
-65,-57,-37,-47,-64,16
-55,-61,-43,-55,-57,16
-62,-56,-37,-52,-57,16
-58,-53,-34,-49,-58,16
-64,-52,-34,-51,-62,16
-67,-57,-36,-51,-58,16
-57,-58,-33,-61,-62,16
-65,-57,-32,-57,-66,16
-65,-62,-37,-51,-66,16
-59,-57,-34,-50,-63,16
-65,-59,-37,-54,-62,16
-57,-55,-38,-52,-60,16
-63,-60,-35,-57,-63,16
-66,-56,-35,-53,-62,16
-63,-57,-36,-60,-62,16
-63,-57,-36,-58,-66,16
-52,-55,-40,-62,-69,17
-53,-55,-40,-60,-69,17
-57,-58,-40,-51,-63,17
-55,-54,-32,-52,-64,17
-59,-55,-37,-55,-62,17
-57,-58,-36,-44,-55,17
-63,-60,-38,-49,-53,17
-64,-56,-44,-53,-61,17
-64,-56,-35,-52,-61,17
-62,-63,-44,-57,-68,17
-68,-56,-42,-57,-66,17
-69,-57,-41,-59,-65,17
-57,-54,-41,-58,-67,17
-53,-53,-36,-57,-56,17
-52,-56,-36,-51,-64,17
-60,-52,-32,-51,-63,17
-58,-53,-37,-56,-62,17
-56,-61,-38,-46,-58,17
-62,-56,-37,-52,-57,17
-60,-54,-38,-56,-59,17
-63,-58,-37,-46,-61,17
-57,-71,-41,-61,-65,17
-56,-59,-40,-60,-67,17
-61,-52,-39,-62,-68,17
-55,-57,-36,-57,-58,17
-54,-60,-35,-50,-64,17
-56,-59,-35,-51,-66,17
-56,-68,-48,-48,-52,17
-54,-61,-36,-42,-57,17
-63,-62,-38,-48,-63,17
-59,-65,-43,-47,-64,17
-65,-60,-40,-50,-63,17
-62,-62,-40,-56,-67,17
-64,-62,-40,-53,-65,17
-54,-56,-38,-63,-65,17
-62,-50,-39,-64,-65,17
-57,-55,-47,-58,-64,17
