sexo,est.civil,sede,gpo.prof,class,zona,r.edad
0,2,0,9,4,4,4
1,2,0,9,4,4,3
0,2,0,9,4,4,2
0,2,0,9,4,4,4
0,2,0,9,4,4,2
0,2,1,9,4,4,2
1,2,0,9,4,4,2
0,2,0,9,4,7,2
0,2,0,9,4,4,4
0,2,0,9,4,3,2
1,2,0,9,4,4,4
1,2,0,9,4,4,2
1,2,0,9,4,5,1
0,2,0,9,4,8,1
0,2,1,9,4,2,1
0,2,0,9,4,4,1
0,2,1,9,4,4,2
0,2,0,9,4,4,1
0,2,0,9,4,4,1
1,2,0,9,4,4,2
0,2,0,9,4,4,3
0,2,1,9,4,4,2
0,2,0,9,4,4,3
0,2,0,9,4,4,1
0,2,0,9,4,4,2
1,2,1,9,4,8,0
0,2,0,9,4,4,2
0,2,1,9,4,2,1
0,2,0,9,4,7,2
0,0,0,9,4,4,3
0,2,0,9,4,4,3
0,2,0,12,4,4,2
1,2,0,12,4,4,2
0,2,0,12,4,8,1
0,2,0,15,4,1,1
0,2,1,15,4,4,4
0,2,0,15,4,4,3
0,2,0,15,4,4,3
0,2,0,15,4,4,1
0,2,0,15,4,4,2
0,2,0,15,4,4,1
1,2,0,15,4,7,1
0,2,0,15,4,4,1
0,2,0,15,4,4,1
1,2,0,15,4,4,2
0,2,0,15,4,4,3
0,2,0,15,4,4,1
0,2,0,15,4,4,1
1,2,0,15,4,4,1
0,2,1,15,4,7,1
0,2,1,15,4,4,1
0,0,0,8,4,4,4
1,2,0,2,4,3,2
1,2,1,2,0,7,2
1,2,0,10,0,4,1
0,2,0,1,0,7,2
1,2,0,4,0,7,1
1,2,0,4,0,7,1
0,2,0,17,0,4,3
1,0,0,4,0,4,2
0,2,0,4,0,3,2
0,2,0,4,0,4,3
0,2,0,4,0,4,2
0,2,0,4,0,3,1
1,2,0,7,0,4,1
1,2,0,7,0,4,1
1,2,0,7,0,4,1
1,2,0,7,0,5,1
0,2,0,9,0,4,1
1,2,0,9,0,4,1
1,2,0,9,0,4,1
1,2,0,9,0,4,1
1,2,0,9,0,3,1
1,2,0,9,0,4,1
1,2,0,9,0,4,1
0,2,0,9,0,4,1
1,2,1,9,0,2,1
0,2,1,9,0,4,1
0,2,0,9,0,4,2
1,2,0,9,0,4,1
1,0,0,9,0,4,4
1,2,0,9,0,4,1
0,2,0,9,0,4,2
0,2,0,9,0,4,2
1,2,0,4,0,1,2
0,2,0,13,0,4,4
1,2,0,2,0,5,1
0,2,1,15,0,4,1
0,2,0,15,0,4,1
