aibo1,aibo2,aibo3,aibo4,aibo5,class
-66,-55,-43,-56,-68,17
-62,-65,-40,-56,-58,18
-61,-60,-40,-53,-57,18
-57,-56,-39,-53,-59,18
-57,-56,-38,-49,-62,18
-67,-59,-44,-65,-65,18
-63,-55,-37,-62,-71,18
-61,-55,-39,-67,-67,18
-65,-55,-37,-62,-67,18
-65,-56,-37,-59,-65,18
-68,-62,-51,-62,-69,18
-68,-59,-51,-63,-68,18
-71,-61,-48,-58,-65,18
-68,-64,-46,-65,-68,18
-64,-64,-44,-61,-72,18
-68,-59,-43,-59,-67,18
-72,-61,-41,-56,-59,18
-60,-58,-43,-56,-60,18
-60,-58,-42,-57,-62,18
-60,-59,-42,-57,-61,18
-64,-57,-40,-64,-66,19
-61,-55,-40,-60,-68,19
-57,-58,-40,-56,-65,19
-62,-54,-38,-62,-69,19
-65,-53,-42,-56,-61,19
-66,-58,-37,-60,-70,19
-63,-59,-39,-61,-70,19
-60,-63,-44,-60,-69,19
-59,-59,-45,-61,-69,19
-57,-57,-43,-57,-69,19
-72,-59,-50,-66,-71,19
-69,-56,-45,-62,-75,19
-66,-60,-44,-62,-72,19
-63,-60,-44,-65,-72,19
-62,-60,-39,-64,-68,19
-60,-58,-38,-60,-64,19
-64,-61,-42,-64,-66,19
-60,-61,-38,-62,-66,19
-61,-57,-37,-60,-73,19
-59,-47,-46,-61,-65,20
-59,-47,-38,-56,-65,20
-57,-47,-35,-55,-60,20
-57,-46,-39,-51,-58,20
-60,-54,-41,-59,-62,20
-63,-55,-41,-53,-58,20
-62,-48,-43,-60,-65,20
-61,-45,-43,-57,-67,20
-58,-46,-37,-54,-64,20
-57,-45,-40,-52,-64,20
-61,-51,-41,-53,-62,20
-60,-52,-37,-53,-58,20
-63,-58,-41,-56,-62,20
-57,-49,-48,-62,-69,20
-63,-53,-50,-61,-69,20
-67,-53,-38,-61,-71,20
-73,-57,-43,-57,-67,20
-69,-59,-40,-58,-64,20
-69,-61,-40,-58,-69,20
-56,-51,-49,-63,-73,20
-53,-51,-38,-57,-64,20
-56,-49,-31,-56,-61,20
-60,-51,-33,-53,-61,20
-57,-47,-40,-53,-62,20
-64,-47,-44,-50,-63,20
-60,-50,-34,-59,-60,20
-60,-54,-31,-54,-64,20
-64,-61,-44,-63,-75,21
-66,-61,-47,-61,-72,21
-65,-59,-51,-61,-70,21
-57,-52,-36,-54,-65,21
-55,-53,-34,-58,-64,21
-58,-53,-30,-56,-64,21
-57,-55,-34,-56,-68,21
-66,-62,-45,-63,-71,21
-67,-60,-45,-60,-73,21
-59,-60,-44,-62,-69,21
-67,-60,-42,-59,-68,21
-66,-58,-41,-59,-70,21
-62,-59,-43,-65,-70,21
-59,-59,-46,-60,-70,21
-59,-55,-41,-58,-69,21
-62,-55,-47,-58,-61,22
-66,-55,-48,-62,-61,22
-63,-55,-50,-63,-67,22
-64,-55,-50,-66,-64,22
-71,-65,-58,-60,-60,22
-72,-67,-54,-60,-60,22
-73,-70,-52,-58,-61,22
-72,-66,-52,-58,-60,22
-65,-63,-48,-54,-61,22
-62,-63,-50,-51,-65,22
-62,-58,-55,-61,-63,22
-68,-66,-56,-70,-66,22
-72,-65,-51,-66,-64,22
-74,-61,-57,-65,-69,22
-67,-65,-56,-67,-64,22
-70,-61,-54,-67,-72,22
-69,-65,-52,-64,-68,22
-71,-59,-52,-61,-72,22
-54,-45,-60,-78,-79,23
-59,-45,-64,-72,-79,23
-56,-49,-64,-72,-74,23
-58,-45,-60,-67,-70,23
-49,-49,-62,-79,-74,23
-56,-50,-66,-75,-78,23
-57,-51,-65,-75,-76,23
-55,-55,-65,-74,-70,23
-56,-47,-62,-74,-78,23
-53,-42,-59,-71,-81,23
-60,-41,-63,-71,-79,23
-56,-45,-62,-70,-75,23
-56,-46,-65,-66,-74,23
-46,-42,-63,-76,-82,23
-53,-44,-57,-72,-78,23
-56,-48,-63,-68,-75,23
-61,-52,-61,-68,-77,23
-50,-40,-50,-62,-71,24
-55,-37,-48,-65,-69,24
-51,-43,-48,-64,-73,24
-49,-38,-52,-68,-69,24
-45,-38,-60,-73,-76,24
-56,-41,-50,-69,-73,24
-52,-42,-51,-68,-70,24
-50,-40,-53,-72,-75,24
-46,-42,-54,-72,-75,24
-52,-44,-54,-70,-73,24
-57,-41,-52,-71,-75,24
-57,-40,-48,-66,-73,24
-49,-38,-50,-56,-74,24
-47,-37,-57,-63,-77,24
-52,-43,-47,-66,-71,24
-56,-39,-48,-72,-71,24
-54,-39,-51,-70,-71,24
-50,-43,-60,-74,-79,24
-49,-47,-65,-78,-76,24
-48,-41,-64,-81,-77,25
-47,-46,-64,-79,-77,25
-47,-53,-60,-70,-75,25
-42,-48,-59,-68,-74,25
-49,-31,-54,-66,-68,25
-56,-35,-58,-68,-70,25
-59,-40,-56,-64,-71,25
-54,-38,-53,-68,-72,25
-54,-39,-52,-66,-72,25
-48,-42,-63,-77,-83,25
-42,-42,-66,-75,-76,25
-41,-38,-62,-69,-68,25
-40,-32,-59,-72,-72,25
-54,-43,-63,-76,-77,25
-46,-54,-63,-78,-77,25
-48,-43,-63,-81,-81,25
-48,-47,-62,-73,-79,25
-48,-49,-64,-73,-75,26
-54,-54,-62,-73,-73,26
-52,-47,-65,-73,-75,26
-49,-42,-64,-71,-77,26
-54,-42,-50,-64,-71,26
-51,-54,-46,-65,-71,26
-50,-42,-48,-65,-71,26
-45,-34,-50,-65,-69,26
-54,-36,-54,-62,-67,26
-52,-52,-72,-78,-78,26
-55,-56,-67,-82,-85,26
-55,-46,-63,-84,-87,26
-50,-58,-62,-74,-81,26
-55,-54,-65,-74,-82,26
-54,-56,-65,-78,-83,26
-54,-46,-67,-81,-87,26
-56,-44,-65,-79,-86,26
-44,-59,-69,-76,-79,27
-42,-59,-67,-76,-79,27
-42,-57,-63,-76,-82,27
-48,-53,-67,-76,-80,27
-46,-55,-63,-68,-82,27
-50,-54,-59,-72,-76,27
-52,-50,-57,-66,-76,27
-52,-56,-59,-70,-76,27
-53,-54,-59,-75,-78,27
-46,-60,-69,-78,-79,27
-42,-54,-64,-77,-83,27
-49,-53,-63,-75,-81,27
-51,-59,-71,-76,-84,27
-48,-59,-68,-76,-79,27
-46,-59,-68,-83,-83,27
-42,-57,-68,-78,-83,27
-49,-61,-65,-75,-80,27
