device_0,device_1,device_2,device_3,device_4,device_5,device_6,device_7,device_8,device_9,class
-38.0,-58.0,-46.0,-60.0,-58.0,-70.0,-62.0,-80.0,-80.0,-70.0,8
-38.0,-60.0,-48.0,-60.0,-60.0,-70.0,-64.0,-80.0,-80.0,-70.0,8
-38.0,-58.0,-48.0,-62.0,-60.0,-70.0,-64.0,-80.0,-80.0,-70.0,8
-38.0,-58.0,-46.0,-58.0,-60.0,-70.0,-66.0,-82.0,-78.0,-72.0,8
-38.0,-60.0,-48.0,-58.0,-60.0,-70.0,-66.0,-82.0,-78.0,-70.0,8
-38.0,-58.0,-48.0,-58.0,-60.0,-68.0,-62.0,-80.0,-78.0,-72.0,8
-38.0,-58.0,-48.0,-58.0,-60.0,-70.0,-64.0,-80.0,-80.0,-70.0,8
-38.0,-58.0,-48.0,-58.0,-60.0,-70.0,-62.0,-80.0,-78.0,-70.0,8
-38.0,-60.0,-48.0,-58.0,-60.0,-70.0,-64.0,-80.0,-78.0,-72.0,8
-38.0,-58.0,-48.0,-58.0,-58.0,-70.0,-66.0,-80.0,-78.0,-72.0,8
-38.0,-58.0,-48.0,-60.0,-60.0,-70.0,-68.0,-80.0,-78.0,-70.0,8
-38.0,-58.0,-48.0,-58.0,-60.0,-70.0,-66.0,-82.0,-78.0,-70.0,8
-38.0,-58.0,-46.0,-58.0,-58.0,-70.0,-64.0,-80.0,-78.0,-70.0,8
-40.0,-58.0,-46.0,-62.0,-60.0,-60.0,-68.0,-78.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-66.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-64.0,-68.0,-76.0,-70.0,-72.0,9
-42.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-60.0,-60.0,-64.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-44.0,-60.0,-58.0,-62.0,-68.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-58.0,-58.0,-62.0,-68.0,-78.0,-70.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-56.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-70.0,9
-40.0,-56.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-60.0,-44.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-38.0,-58.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-60.0,-68.0,-78.0,-68.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-42.0,-58.0,-44.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-56.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-60.0,-44.0,-62.0,-58.0,-60.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-44.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-60.0,-68.0,-76.0,-70.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-64.0,-68.0,-78.0,-72.0,-72.0,9
-40.0,-60.0,-44.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-70.0,9
-40.0,-58.0,-44.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-60.0,-46.0,-60.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-72.0,-72.0,9
-40.0,-58.0,-46.0,-60.0,-58.0,-62.0,-68.0,-78.0,-70.0,-70.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-60.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-58.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-42.0,-60.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-60.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-60.0,-46.0,-62.0,-60.0,-62.0,-68.0,-78.0,-70.0,-72.0,9
-40.0,-56.0,-46.0,-62.0,-58.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-78.0,-70.0,-70.0,9
