aibo1,aibo2,aibo3,aibo4,aibo5,class
-58,-51,-32,-52,-59,16
-54,-45,-30,-58,-58,16
-58,-50,-29,-49,-53,16
-54,-52,-32,-35,-60,16
-72,-51,-30,-49,-58,16
-60,-47,-28,-49,-58,16
-53,-43,-34,-58,-66,17
-61,-49,-33,-55,-57,17
-60,-57,-35,-47,-58,17
-55,-49,-33,-45,-54,17
-61,-57,-36,-53,-56,17
-58,-58,-40,-53,-55,17
-56,-46,-36,-55,-66,17
-58,-52,-33,-52,-57,17
-61,-56,-30,-45,-56,17
-61,-54,-34,-53,-56,17
-56,-55,-36,-54,-54,17
-79,-58,-47,-46,-60,17
-54,-46,-33,-58,-64,17
-54,-47,-35,-56,-59,17
-55,-50,-33,-47,-62,17
-56,-56,-45,-48,-56,17
-61,-52,-41,-48,-62,17
-54,-48,-39,-56,-63,17
-64,-49,-40,-53,-55,17
-61,-55,-33,-53,-62,17
-55,-59,-37,-48,-54,17
-55,-56,-39,-52,-60,17
-63,-54,-40,-54,-63,17
-63,-55,-37,-50,-55,18
-63,-57,-47,-50,-59,18
-56,-59,-45,-52,-58,18
-57,-48,-38,-59,-58,18
-58,-47,-32,-56,-63,18
-55,-51,-31,-56,-61,18
-59,-49,-29,-60,-60,18
-61,-52,-35,-53,-54,18
-61,-55,-34,-48,-56,18
-57,-53,-33,-54,-55,18
-56,-55,-34,-50,-53,18
-61,-54,-38,-49,-58,18
-63,-52,-33,-56,-60,18
-58,-54,-29,-53,-52,18
-58,-55,-33,-52,-56,18
-53,-58,-45,-54,-60,18
-55,-51,-35,-58,-62,19
-58,-55,-34,-54,-64,19
-56,-53,-35,-55,-62,19
-60,-55,-33,-52,-56,19
-60,-53,-33,-59,-67,19
-59,-52,-35,-55,-65,19
-57,-55,-38,-55,-62,19
-53,-54,-32,-55,-60,19
-53,-51,-32,-56,-61,19
-63,-51,-32,-53,-59,19
-55,-60,-32,-52,-59,19
-59,-50,-32,-54,-62,19
-57,-58,-28,-55,-64,19
-59,-55,-33,-59,-64,19
-51,-56,-30,-61,-66,19
-65,-50,-36,-51,-62,19
-65,-54,-30,-60,-60,19
-73,-58,-32,-55,-59,19
-54,-40,-36,-59,-62,20
-57,-46,-40,-57,-61,20
-61,-50,-37,-56,-63,20
-52,-54,-40,-55,-57,20
-67,-58,-33,-54,-59,20
-62,-41,-46,-59,-66,20
-65,-50,-33,-58,-58,20
-47,-48,-40,-56,-58,20
-59,-50,-40,-59,-64,20
-55,-48,-39,-56,-56,20
-60,-54,-31,-57,-62,20
-59,-47,-32,-58,-60,20
-51,-49,-36,-58,-62,20
-50,-48,-39,-59,-63,20
-61,-50,-40,-56,-55,20
-58,-54,-39,-55,-64,20
-59,-50,-33,-56,-59,20
-53,-50,-37,-57,-62,20
-54,-48,-42,-57,-60,20
-56,-49,-34,-57,-64,20
-54,-54,-41,-54,-55,20
-59,-54,-33,-54,-69,21
