Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2018-09-20,126.410004,127.129997,126.010002,126.779999,28970400,121.895703,123.4871301,126.0220001,128.5568702,Increasing
2018-09-19,126.279999,127.099998,126.110001,126.16999799999999,28369000,121.309203,123.5664037,125.945,128.3235962,Decreasing
2018-09-18,125.550003,126.139999,124.459999,124.75,51957000,119.94391100000001,123.60226920000001,125.79833319999999,127.9943973,Decreasing
2018-09-17,125.57,128.119995,125.16999799999999,127.599998,47054300,122.68411200000001,123.58674509999999,125.82216640000001,128.0575877,Increasing
2018-09-16,128.100006,128.199997,126.66999799999999,126.910004,32435100,122.020699,123.58172659999998,125.82549979999999,128.069273,Decreasing
2018-09-15,126.989998,128.869995,126.32,128.619995,37654500,123.66481200000001,123.50197820000001,125.86749979999999,128.2330214,Increasing
2018-09-14,128.300003,130.419998,128.139999,129.669998,45770900,124.67436299999999,123.3716821,126.1116665,128.8516508,Increasing
2018-09-13,130.490005,130.630005,129.229996,130.279999,44525900,125.26086299999999,123.37647050000001,126.4186666,129.46086259999998,Decreasing
2018-09-12,132.309998,133.130005,131.149994,132.649994,96954200,127.539552,123.128271,126.8531664,130.5780619,Increasing
2018-09-11,134.46000700000002,134.53999299999998,129.570007,130.559998,118924000,125.530074,122.95336909999999,127.1514997,131.3496302,Decreasing
2018-09-10,130.16000400000001,131.58999599999999,128.300003,128.639999,63386100,123.684046,123.165847,127.37233300000001,131.57881899999998,Decreasing
2018-09-09,128.639999,128.639999,124.58000200000001,125.150002,83195400,120.328503,123.4832179,127.47066629999999,131.4581147,Decreasing
2018-09-08,126.099998,130.130005,125.300003,128.949997,58512600,123.9821,123.79286850000001,127.6258331,131.4587977,Increasing
2018-09-07,129.5,130.570007,128.259995,128.699997,50988300,123.74173200000001,123.9186426,127.76483300000001,131.61102350000002,Decreasing
2018-09-06,128.149994,128.449997,125.779999,125.800003,49271400,120.95346200000002,123.91582,127.7634997,131.6111794,Decreasing
2018-09-05,126.559998,126.75,123.360001,125.010002,72141000,120.19389699999999,123.8088193,127.73266640000001,131.6565135,Decreasing
2018-09-04,124.769997,126.08000200000001,124.019997,125.260002,43940900,120.93733,123.6785663,127.6919997,131.705433,Increasing
2018-09-03,126.68,127.620003,126.110001,127.620003,55550400,123.21588799999999,123.7345408,127.7216665,131.7087922,Increasing
2018-09-02,127.389999,127.559998,125.629997,126.32,42035800,121.960747,123.65992050000001,127.6796663,131.69941210000002,Decreasing
2018-09-01,125.599998,126.879997,124.82,125.870003,48160000,121.526279,123.5804905,127.64749950000001,131.7145084,Increasing
2018-08-31,126.150002,127.190002,125.870003,126.010002,34694200,121.661447,123.5504423,127.63333300000001,131.7162236,Decreasing
2018-08-30,127.410004,128.949997,127.160004,128.949997,45203500,124.49998400000001,123.6706007,127.7279997,131.7853986,Increasing
2018-08-29,129.070007,129.490005,128.21000700000002,128.770004,38208000,124.326203,124.0144574,127.91333329999999,131.81220919999998,Decreasing
2018-08-28,128.380005,130.720001,128.360001,130.190002,50882900,125.697198,124.100497,128.0530002,132.00550330000002,Increasing
2018-08-27,130.690002,130.880005,129.639999,130.070007,44633200,125.581344,124.15887649999999,128.1998337,132.2407909,Decreasing
2018-08-26,130.0,130.979996,129.33999599999999,130.059998,36454900,125.571679,124.18500870000001,128.3093337,132.4336587,Increasing
2018-08-25,130.070007,131.630005,129.830002,131.389999,39730400,126.855783,124.12738159999999,128.3863339,132.6452861,Increasing
2018-08-24,131.600006,132.970001,131.399994,132.53999299999998,45596000,127.96609099999999,123.9598963,128.499167,133.0384377,Increasing
2018-08-23,132.600006,132.91000400000001,129.119995,129.619995,70697600,125.14686100000002,124.10876090000002,128.411167,132.7135731,Decreasing
2018-08-22,130.33999599999999,132.259995,130.050003,132.03999299999998,45833200,127.483346,124.11880090000001,128.4058336,132.6928663,Increasing
2018-08-21,131.860001,131.949997,131.100006,131.779999,30733300,127.232324,124.0226213,128.5108337,132.999046,Decreasing
2018-08-20,131.229996,131.449997,129.899994,130.279999,50884500,125.78408799999998,124.30070900000001,128.7318334,133.1629579,Decreasing
2018-08-19,130.279999,131.389999,130.050003,130.53999299999998,32112800,126.03511,124.35949939999999,128.8584999,133.3575004,Increasing
2018-08-18,129.860001,130.66000400000001,129.320007,129.96000700000002,33667600,125.47513899999998,124.37474590000001,128.8986669,133.4225879,Increasing
2018-08-17,130.66000400000001,130.940002,129.899994,130.119995,30889400,125.62960600000001,124.6367699,129.08083349999998,133.524897,Decreasing
2018-08-16,129.580002,130.580002,128.91000400000001,129.360001,38450100,124.895839,125.26837979999999,129.3096669,133.3509539,Decreasing
2018-08-15,129.5,129.690002,128.360001,128.649994,35626800,124.210334,125.9332746,129.4986668,133.06405900000001,Decreasing
2018-08-14,128.899994,129.21000700000002,126.83000200000001,127.800003,52674800,123.389676,126.0685551,129.5401669,133.01177859999999,Decreasing
2018-08-13,126.699997,128.080002,125.620003,127.41999799999999,56075400,123.02278500000001,126.1824915,129.5670003,132.9515092,Increasing
2018-08-12,127.91999799999999,129.33999599999999,127.849998,128.880005,39087300,124.43240800000001,126.7463818,129.708667,132.6709521,Increasing
2018-08-11,129.179993,130.179993,128.479996,128.58999599999999,35390900,124.15240700000001,127.2892578,129.845,132.40074209999997,Decreasing
2018-08-10,128.190002,128.330002,127.110001,127.16999799999999,36886200,122.78141299999999,127.131001,129.80416670000002,132.47733229999997,Decreasing
2018-08-09,126.099998,127.239998,125.709999,126.91999799999999,43988900,122.54003999999999,126.70609809999999,129.6941663,132.6822346,Increasing
2018-08-08,127.029999,127.849998,126.370003,127.599998,31494100,123.196574,126.4016896,129.56999960000002,132.73830949999999,Increasing
2018-08-07,127.720001,127.879997,126.739998,127.300003,32918100,122.906931,126.1238847,129.4254994,132.727114,Decreasing
2018-08-06,127.230003,128.309998,127.220001,127.879997,35407200,123.46691000000001,125.9515598,129.3093328,132.6671058,Increasing
2018-08-05,127.709999,127.82,126.400002,126.599998,54716900,122.23108300000001,125.68856559999999,129.1088327,132.52909979999998,Decreasing
2018-08-04,127.489998,128.059998,127.08000200000001,127.610001,34039300,123.206231,125.7264205,128.87283290000002,132.0192453,Increasing
2018-08-03,127.480003,127.610001,126.879997,127.029999,30268900,122.646244,125.57334850000001,128.7039996,131.8346507,Decreasing
2018-08-02,127.209999,129.800003,127.120003,128.110001,55280900,123.688976,125.6811976,128.5486666,131.4161355,Increasing
2018-08-01,128.860001,129.199997,127.5,127.5,31938100,123.100026,125.8677152,128.37149979999998,130.8752844,Decreasing
2018-07-31,127.66999799999999,127.989998,126.510002,126.75,44066800,122.37590800000001,125.84526240000001,128.1985,130.5517375,Decreasing
2018-07-30,125.459999,126.470001,124.480003,124.529999,49161400,120.232518,125.50070670000001,127.9235001,130.3462935,Decreasing
2018-07-29,125.57,126.120003,124.860001,125.43,44370700,121.10146100000001,125.2434909,127.69799990000001,130.1525088,Decreasing
2018-07-28,126.900002,126.940002,125.989998,126.599998,30238800,122.23108300000001,125.31963600000002,127.5075,129.6953639,Decreasing
2018-07-27,126.43,126.690002,125.769997,126.440002,27211000,122.076609,125.3221027,127.3416666,129.3612304,Increasing
2018-07-26,124.940002,126.230003,124.849998,126.0,28060400,121.65178999999999,125.172968,127.18133329999999,129.1896986,Increasing
2018-07-25,125.889999,126.150002,123.769997,125.690002,46946800,121.35249099999999,124.89390590000001,127.04416640000001,129.194427,Decreasing
2018-07-24,124.480003,124.639999,122.540001,122.57,60761600,118.340158,124.14189740000002,126.85466640000001,129.5674354,Decreasing
2018-07-23,123.849998,124.059998,119.220001,120.07,77821600,115.926432,122.9127426,126.4759997,130.0392568,Decreasing
2018-07-22,121.940002,123.849998,121.209999,123.279999,61354500,119.025655,122.4632754,126.1608332,129.85839109999998,Increasing
2018-07-21,125.029999,125.760002,124.32,125.660004,41440500,121.323527,122.3846331,126.04633329999999,129.7080335,Increasing
2018-07-20,126.040001,126.370003,125.040001,125.610001,31768100,121.27525,122.34366399999999,125.99883349999999,129.65400290000002,Decreasing
2018-07-19,125.720001,127.150002,125.58000200000001,126.82,33649200,122.44349199999999,122.3439159,125.96100020000002,129.57808459999998,Increasing
2018-07-18,127.739998,128.570007,127.349998,128.509995,36222400,124.075166,122.3059902,126.00283359999999,129.699677,Increasing
2018-07-17,129.080002,129.619995,128.309998,129.619995,46164700,125.14686100000002,122.1959647,126.0718335,129.9477023,Increasing
2018-07-16,130.970001,132.970001,130.699997,132.070007,58900200,127.51232399999999,121.6892041,126.32050020000001,130.9517963,Increasing
2018-07-15,132.850006,132.919998,130.320007,130.75,76756400,126.23787,121.40797090000001,126.50783359999998,131.6076963,Decreasing
2018-07-14,121.989998,125.5,121.989998,125.220001,115450600,120.89870900000001,121.17781380000001,126.3610003,131.5441868,Increasing
2018-07-13,126.199997,127.089996,125.059998,125.160004,50999500,120.840782,121.1251692,126.2323335,131.33949779999998,Decreasing
2018-07-12,125.32,125.739998,123.900002,124.5,42162300,120.20355500000001,120.98931499999999,126.0646669,131.14001869999998,Decreasing
2018-07-11,123.089996,123.610001,122.120003,122.769997,44455500,118.533253,120.6120011,125.8521669,131.09233270000001,Decreasing
2018-07-10,123.379997,123.910004,122.550003,123.379997,33618100,119.122203,120.4054683,125.7581669,131.11086550000002,Increasing
2018-07-09,123.150002,123.5,122.269997,122.989998,37011700,118.74566200000001,120.1369622,125.6306668,131.1243713,Decreasing
2018-07-08,122.32,122.57,121.709999,122.370003,33628300,118.14706299999999,119.7438845,125.41600020000001,131.0881158,Increasing
2018-07-07,122.599998,122.639999,120.910004,121.300003,42885000,117.11398899999999,119.29249979999999,125.18183359999999,131.0711674,Decreasing
2018-07-06,121.5,122.57,117.519997,118.440002,69976000,114.35268500000001,118.4943027,124.8726669,131.2510311,Decreasing
2018-07-05,117.41999799999999,117.699997,113.25,114.639999,124138600,110.683819,116.73130420000001,124.3723335,132.0133628,Decreasing
2018-07-04,112.949997,117.440002,112.099998,115.400002,99312600,111.417594,115.29323159999998,123.9588335,132.6244354,Increasing
2018-07-03,115.970001,116.5,114.120003,115.129997,52903000,111.66005,114.2686043,123.66550020000001,133.0623961,Decreasing
2018-07-02,114.58000200000001,116.25,114.5,115.519997,38670400,112.03829499999999,113.2383284,123.2976669,133.3570053,Increasing
