busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
5639,107,6998,0.0,1.5,31.0
5639,107,6998,0.0,5.0,32.0
4906,140,9459,1.0,1.5,96.0
9407,17,4234,0.0,19.0,0.0
9407,17,4234,0.0,20.5,64.0
9407,17,4234,0.0,2.0,126.0
555,277,11128,0.0,18.5,31.0
555,277,11128,0.0,20.5,62.0
8943,270,10882,1.0,5.0,63.0
306,79,932,1.0,2.5,125.0
306,79,932,1.0,4.0,248.0
434,37,5362,0.0,4.0,63.0
434,37,5362,0.0,6.0,63.0
434,37,5362,0.0,9.5,0.0
260,48,3433,0.0,0.5,64.0
260,48,3433,0.0,4.0,62.0
260,48,3433,0.0,7.0,126.0
260,48,3433,0.0,8.0,32.0
2856,206,1852,1.0,6.5,64.0
9265,169,8489,1.0,22.5,0.0
9265,169,8489,1.0,0.5,32.0
3896,104,7123,0.0,3.0,191.0
3896,104,7123,0.0,4.5,64.0
3896,104,7123,0.0,5.5,32.0
4853,5,3566,1.0,16.5,0.0
4853,5,3566,1.0,19.5,33.0
4563,38,6004,0.0,3.5,221.0
4563,38,6004,0.0,6.0,0.0
4767,67,282,0.0,0.5,219.0
4767,67,282,0.0,5.0,93.0
4767,67,282,0.0,7.5,63.0
6568,160,9960,1.0,3.5,95.0
6568,160,9960,1.0,6.5,32.0
6568,160,9960,1.0,9.0,0.0
3585,290,10054,1.0,20.5,62.0
3585,290,10054,1.0,20.5,0.0
6038,54,226,0.0,18.0,31.0
6038,54,226,0.0,20.0,0.0
6832,162,9508,0.0,22.5,32.0
6832,162,9508,0.0,3.5,65.0
6832,162,9508,0.0,6.0,190.0
9479,30,5647,0.0,16.5,64.0
9486,3,3524,0.0,3.5,22.0
295,75,833,1.0,19.0,64.0
4236,28,4625,1.0,7.0,63.0
3137,309,9288,1.0,19.0,31.0
8089,153,8349,1.0,18.5,95.0
8089,153,8349,1.0,19.5,186.0
8089,153,8349,1.0,21.0,92.0
8089,153,8349,1.0,22.5,124.0
8089,153,8349,1.0,23.5,31.0
7635,76,846,0.0,18.5,63.0
7635,76,846,0.0,22.0,96.0
7635,76,846,0.0,0.0,0.0
3749,280,12148,0.0,6.5,63.0
3749,280,12148,0.0,9.0,63.0
9205,166,9333,1.0,18.5,0.0
9205,166,9333,1.0,20.5,0.0
7072,178,2578,1.0,2.5,62.0
7072,178,2578,1.0,4.5,0.0
7072,178,2578,1.0,7.0,0.0
7072,178,2578,1.0,10.5,0.0
6441,157,9222,1.0,3.0,32.0
6441,157,9222,1.0,5.0,0.0
4401,54,1467,0.0,17.0,33.0
4401,54,1467,0.0,19.5,63.0
4401,54,1467,0.0,21.5,32.0
4401,54,1467,0.0,23.5,64.0
4401,54,1467,0.0,2.0,63.0
4401,54,1467,0.0,4.0,32.0
4401,54,1467,0.0,6.5,126.0
4401,54,1467,0.0,8.5,0.0
3995,12,4291,0.0,16.5,0.0
3995,12,4291,0.0,18.5,63.0
3995,12,4291,0.0,21.0,0.0
3995,12,4291,0.0,23.0,32.0
3995,12,4291,0.0,1.5,32.0
3995,12,4291,0.0,3.5,94.0
3995,12,4291,0.0,6.0,32.0
7004,188,2777,0.0,8.0,0.0
7004,188,2777,0.0,9.5,0.0
586,232,6300,0.0,5.5,63.0
586,232,6300,0.0,6.5,125.0
6615,162,9510,0.0,22.0,0.0
6615,162,9510,0.0,0.5,0.0
6615,162,9510,0.0,3.0,62.0
562,271,10920,0.0,21.0,124.0
562,271,10920,0.0,0.0,63.0
562,271,10920,0.0,2.5,33.0
562,271,10920,0.0,7.0,0.0
6598,50,12386,1.0,23.0,191.0
6598,50,12386,1.0,0.5,220.0
6598,50,12386,1.0,2.0,795.0
6598,50,12386,1.0,4.0,856.0
6598,50,12386,1.0,6.5,597.0
6598,50,12386,1.0,8.0,535.0
4349,54,220,0.0,20.0,0.0
4349,54,220,0.0,22.0,0.0
4349,54,220,0.0,0.5,0.0
4349,54,220,0.0,2.5,64.0
6406,121,6718,0.0,7.5,64.0
6406,121,6718,0.0,10.5,31.0
8796,278,11171,1.0,20.5,0.0
8796,278,11171,1.0,22.5,33.0
3606,267,12088,0.0,23.5,32.0
3606,267,12088,0.0,1.5,32.0
3606,267,12088,0.0,4.0,31.0
3606,267,12088,0.0,5.5,62.0
3606,267,12088,0.0,7.0,0.0
3291,306,9556,1.0,17.5,64.0
6552,19,4292,0.0,8.0,62.0
6552,19,4292,0.0,10.0,62.0
9401,35,3302,1.0,17.0,31.0
4896,0,2985,1.0,6.0,128.0
4896,0,2985,1.0,8.0,63.0
6851,142,9110,1.0,2.5,63.0
6851,142,9110,1.0,6.0,62.0
4868,35,3258,0.0,18.0,33.0
4868,35,3258,0.0,6.0,221.0
4868,35,3258,0.0,8.5,32.0
4101,163,9609,1.0,17.5,32.0
4101,163,9609,1.0,9.5,63.0
404,52,3493,0.0,18.5,124.0
404,52,3493,0.0,21.0,95.0
404,52,3493,0.0,23.5,94.0
4390,73,77,0.0,16.5,31.0
4390,73,77,0.0,18.0,31.0
4390,73,77,0.0,19.5,63.0
4390,73,77,0.0,21.0,0.0
4390,73,77,0.0,22.5,0.0
4390,73,77,0.0,0.0,63.0
4390,73,77,0.0,4.0,63.0
4148,276,11074,0.0,11.5,32.0
4148,276,11074,0.0,12.5,31.0
6864,143,9129,0.0,8.5,34.0
6579,27,4407,1.0,16.0,31.0
6579,27,4407,1.0,17.5,190.0
6579,27,4407,1.0,19.0,407.0
6579,27,4407,1.0,21.0,126.0
6579,27,4407,1.0,23.0,631.0
6579,27,4407,1.0,8.0,95.0
6579,27,4407,1.0,9.5,95.0
9444,34,6214,1.0,17.5,97.0
9444,34,6214,1.0,20.0,31.0
9444,34,6214,1.0,7.0,0.0
4055,183,1894,1.0,4.0,119.0
4578,25,4544,1.0,17.5,64.0
4578,25,4544,1.0,20.5,93.0
4522,32,4855,1.0,13.5,96.0
6623,5,12140,0.0,17.0,284.0
6623,5,12140,0.0,21.5,252.0
8031,141,8184,1.0,5.0,63.0
8031,141,8184,1.0,6.5,93.0
8031,141,8184,1.0,8.0,0.0
5200,101,7408,1.0,6.5,63.0
5200,101,7408,1.0,8.5,64.0
4435,187,2383,1.0,19.0,124.0
4435,187,2383,1.0,4.0,63.0
4435,187,2383,1.0,7.5,0.0
8852,36,5004,0.0,19.5,31.0
8852,36,5004,0.0,23.5,0.0
2480,217,7876,0.0,22.0,63.0
2480,217,7876,0.0,0.5,0.0
4513,189,2611,0.0,22.0,32.0
8073,148,8253,1.0,7.5,31.0
8073,148,8253,1.0,9.5,94.0
5585,94,275,0.0,17.0,94.0
5585,94,275,0.0,19.0,94.0
5585,94,275,0.0,22.5,93.0
5585,94,275,0.0,1.0,156.0
5585,94,275,0.0,3.5,31.0
5585,94,275,0.0,5.5,31.0
5585,94,275,0.0,8.0,62.0
5585,94,275,0.0,10.0,63.0
9506,160,10059,1.0,18.5,32.0
9506,160,10059,1.0,23.0,63.0
9500,9,5611,1.0,19.5,0.0
9500,9,5611,1.0,21.5,64.0
9500,9,5611,1.0,0.0,0.0
9500,9,5611,1.0,7.0,31.0
9565,170,8151,0.0,3.5,62.0
9565,170,8151,0.0,5.5,31.0
5873,99,6749,0.0,23.0,33.0
5873,99,6749,0.0,7.0,0.0
633,277,11147,1.0,8.0,64.0
3317,237,8118,1.0,22.5,244.0
5047,28,5686,0.0,18.0,0.0
5047,28,5686,0.0,20.0,64.0
7659,76,873,1.0,17.0,31.0
7659,76,873,1.0,19.0,63.0
7659,76,873,1.0,21.0,31.0
7659,76,873,1.0,0.5,63.0
6587,50,5404,0.0,18.0,63.0
564,271,10926,0.0,21.0,0.0
564,271,10926,0.0,23.5,63.0
6167,178,1772,0.0,18.5,32.0
6418,119,6596,0.0,0.0,127.0
6418,119,6596,0.0,4.0,219.0
5050,31,4765,0.0,19.5,63.0
5187,25,5936,0.0,18.5,64.0
5187,25,5936,0.0,21.5,62.0
5187,25,5936,0.0,0.5,96.0
7079,176,1688,0.0,20.5,31.0
5796,64,1598,0.0,19.0,158.0
5796,64,1598,0.0,22.0,126.0
5796,64,1598,0.0,1.0,189.0
5796,64,1598,0.0,3.5,125.0
4537,164,10100,1.0,13.5,127.0
4828,5,12563,0.0,23.5,158.0
4828,5,12563,0.0,3.0,0.0
4828,5,12563,0.0,9.0,32.0
9504,160,9435,1.0,11.5,442.0
4171,143,8658,1.0,17.5,31.0
4171,143,8658,1.0,23.5,63.0
4171,143,8658,1.0,2.5,32.0
6518,12,4104,1.0,18.0,62.0
6518,12,4104,1.0,20.0,65.0
6518,12,4104,1.0,22.5,32.0
6518,12,4104,1.0,0.5,32.0
6518,12,4104,1.0,5.0,32.0
6518,12,4104,1.0,7.5,64.0
4537,29,5373,0.0,18.0,32.0
4575,8,3014,1.0,5.0,30.0
4575,8,3014,1.0,6.0,0.0
4575,8,3014,1.0,8.5,0.0
4575,8,3014,1.0,9.0,31.0
4575,8,3014,1.0,10.0,63.0
4575,8,3014,1.0,10.5,63.0
9683,22,5788,0.0,23.5,0.0
9683,22,5788,0.0,2.0,64.0
9683,22,5788,0.0,4.5,95.0
9683,22,5788,0.0,4.5,0.0
9670,163,9569,0.0,17.5,32.0
668,48,5327,0.0,13.0,32.0
668,48,5327,0.0,15.0,31.0
6892,142,10169,1.0,0.0,31.0
6892,142,10169,1.0,6.5,31.0
7644,79,930,1.0,8.5,31.0
6591,49,4834,0.0,3.0,0.0
6591,49,4834,0.0,6.5,0.0
6591,49,4834,0.0,9.5,31.0
653,271,10934,0.0,14.0,31.0
653,271,10934,0.0,16.5,32.0
653,271,10934,0.0,19.0,0.0
653,271,10934,0.0,21.0,0.0
653,271,10934,0.0,23.0,63.0
653,271,10934,0.0,1.5,33.0
653,271,10934,0.0,4.5,0.0
653,271,10934,0.0,7.0,31.0
4422,60,471,1.0,16.0,189.0
4422,60,471,1.0,18.0,126.0
4422,60,471,1.0,19.5,126.0
6387,119,6618,0.0,1.0,32.0
6387,119,6618,0.0,5.5,0.0
6387,119,6618,0.0,9.0,0.0
4971,5,3605,0.0,17.5,32.0
4971,5,3605,0.0,23.5,31.0
4971,5,3605,0.0,3.5,63.0
4971,5,3605,0.0,6.5,127.0
4255,190,2065,0.0,20.0,63.0
4255,190,2065,0.0,22.5,62.0
4255,190,2065,0.0,1.0,0.0
4255,190,2065,0.0,3.5,102.0
4255,190,2065,0.0,6.0,31.0
4255,190,2065,0.0,9.5,31.0
4464,146,8283,0.0,16.0,32.0
4871,40,2960,1.0,19.0,32.0
4871,40,2960,1.0,21.0,63.0
4871,40,2960,1.0,23.0,124.0
4871,40,2960,1.0,1.5,31.0
4871,40,2960,1.0,3.5,31.0
3503,268,10579,1.0,22.5,30.0
6642,121,6702,1.0,20.5,252.0
6642,121,6702,1.0,1.0,254.0
6642,121,6702,1.0,6.0,316.0
6642,121,6702,1.0,9.5,0.0
7048,176,2807,0.0,3.5,68.0
7036,176,2833,0.0,18.5,31.0
6007,92,6674,0.0,17.5,64.0
6007,92,6674,0.0,19.0,63.0
3760,251,10291,1.0,19.0,158.0
3760,251,10291,1.0,21.0,161.0
3760,251,10291,1.0,22.5,0.0
3760,251,10291,1.0,22.5,95.0
3760,251,10291,1.0,0.0,61.0
422,39,5156,1.0,6.5,31.0
3035,302,8033,0.0,21.5,126.0
3877,121,12518,0.0,12.0,126.0
3272,248,1160,0.0,6.5,162.0
2239,236,5500,0.0,3.5,631.0
468,16,4169,0.0,3.0,0.0
468,16,4169,0.0,5.5,31.0
7703,70,144,0.0,18.0,93.0
7703,70,144,0.0,19.0,31.0
7703,70,144,0.0,20.0,93.0
7703,70,144,0.0,21.5,98.0
7703,70,144,0.0,22.5,0.0
7703,70,144,0.0,0.0,94.0
7703,70,144,0.0,1.0,94.0
7703,70,144,0.0,2.0,62.0
7703,70,144,0.0,3.5,32.0
7703,70,144,0.0,4.5,93.0
7703,70,144,0.0,6.0,63.0
566,271,10938,1.0,18.0,31.0
566,271,10938,1.0,21.0,0.0
8907,121,6672,0.0,0.5,63.0
8907,121,6672,0.0,6.0,32.0
6185,97,7281,0.0,21.5,63.0
6185,97,7281,0.0,0.5,0.0
6185,97,7281,0.0,4.5,0.0
4061,71,651,0.0,18.0,95.0
4061,71,651,0.0,21.0,0.0
4061,71,651,0.0,23.5,31.0
4061,71,651,0.0,2.0,0.0
4061,71,651,0.0,7.0,0.0
4061,71,651,0.0,9.5,31.0
6164,179,2691,0.0,21.0,840.0
6164,179,2691,0.0,23.0,858.0
3877,119,6461,1.0,18.5,31.0
6118,78,889,0.0,18.0,94.0
6452,167,8290,1.0,8.0,32.0
2110,211,12588,0.0,18.0,1894.0
2401,202,2075,0.0,0.5,31.0
2401,202,2075,0.0,5.0,95.0
2401,202,2075,0.0,10.0,31.0
5114,17,4253,1.0,18.0,62.0
5114,17,4253,1.0,20.0,95.0
6402,119,7409,1.0,18.5,63.0
4434,189,2087,1.0,17.5,36.0
4434,189,2087,1.0,0.0,33.0
6453,157,9203,1.0,3.5,32.0
288,93,1312,1.0,3.0,31.0
3601,287,11437,0.0,3.0,33.0
3601,287,11437,0.0,5.5,63.0
3601,287,11437,0.0,6.0,31.0
3601,287,11437,0.0,8.5,0.0
6131,158,9772,0.0,3.0,30.0
6131,158,9772,0.0,5.0,0.0
6131,158,9772,0.0,6.0,31.0
6297,36,5045,1.0,2.5,32.0
6297,36,5045,1.0,5.5,31.0
4812,5,3569,1.0,2.0,0.0
4812,5,3569,1.0,5.0,31.0
9507,29,4354,0.0,0.0,97.0
9507,29,4354,0.0,2.5,0.0
6426,119,6645,1.0,19.0,191.0
6426,119,6645,1.0,23.0,92.0
6426,119,6645,1.0,3.0,191.0
6426,119,6645,1.0,7.0,63.0
2256,228,8180,1.0,19.0,62.0
558,274,10900,0.0,22.0,32.0
558,274,10900,0.0,0.5,31.0
7720,66,1106,1.0,1.0,64.0
7720,66,1106,1.0,6.0,31.0
7720,66,1106,1.0,8.0,0.0
3209,296,7042,1.0,19.5,1296.0
326,80,984,1.0,0.5,190.0
6112,74,1134,1.0,2.5,0.0
6112,74,1134,1.0,4.5,32.0
599,277,11146,1.0,18.5,0.0
599,277,11146,1.0,20.5,0.0
6893,147,12560,1.0,17.0,65.0
6893,147,12560,1.0,18.0,32.0
6893,147,12560,1.0,19.5,31.0
6893,147,12560,1.0,20.5,33.0
8949,2,3670,0.0,2.0,31.0
8949,2,3670,0.0,3.5,28.0
8949,2,3670,0.0,5.5,0.0
8056,169,8402,1.0,17.0,0.0
8056,169,8402,1.0,18.0,0.0
8056,169,8402,1.0,19.5,95.0
8056,169,8402,1.0,1.5,62.0
8056,169,8402,1.0,3.0,94.0
8056,169,8402,1.0,5.0,95.0
7010,178,1804,1.0,18.0,62.0
7010,178,1804,1.0,20.0,0.0
3951,121,6617,0.0,0.5,31.0
3951,121,6617,0.0,6.0,0.0
4651,286,11323,1.0,5.0,31.0
4651,286,11323,1.0,8.0,31.0
6679,103,7610,0.0,21.0,0.0
6679,103,7610,0.0,0.0,0.0
7757,61,510,1.0,19.0,31.0
7757,61,510,1.0,21.0,32.0
7757,61,510,1.0,1.5,62.0
7757,61,510,1.0,3.5,0.0
7757,61,510,1.0,5.5,0.0
7757,61,510,1.0,7.5,31.0
420,43,5280,1.0,23.0,31.0
420,43,5280,1.0,1.5,63.0
420,43,5280,1.0,4.0,0.0
262,16,4143,0.0,4.0,63.0
7069,188,2295,1.0,19.5,0.0
7069,188,2295,1.0,23.5,34.0
2250,235,6299,1.0,18.0,65.0
2250,235,6299,1.0,1.0,31.0
7053,188,2431,1.0,6.0,32.0
9349,273,11001,0.0,18.0,443.0
9349,273,11001,0.0,19.0,94.0
9349,273,11001,0.0,20.0,33.0
9349,273,11001,0.0,21.5,0.0
9349,273,11001,0.0,22.5,126.0
9349,273,11001,0.0,0.0,95.0
9349,273,11001,0.0,1.0,0.0
9349,273,11001,0.0,2.5,95.0
9349,273,11001,0.0,4.0,189.0
4528,19,9931,1.0,14.0,65.0
